ï»¿LOB,From Date,To Date,Automation Nmae
SeamFindICN.mac,46:45.0,46:58.0,PCOMM_EI
ClmImage.mac,59:28.0,02:44.0,PCOMM_EI
SeamFindICN.mac,03:24.0,03:30.0,PCOMM_EI
E_Signon.mac,03:48.0,05:12.0,PCOMM_EI
SeamFindICN.mac,06:26.0,07:01.0,PCOMM_EI
Goto_CMI.mac,07:32.0,07:33.0,PCOMM_EI
ClmImage.mac,07:57.0,08:24.0,PCOMM_EI
Goto_CMI.mac,08:30.0,08:31.0,PCOMM_EI
GoTo_CEI.mac,08:41.0,08:44.0,PCOMM_EI
E_Signon.mac,16:44.0,21:02.0,PCOMM_EI
SeamFindICN.mac,25:04.0,25:20.0,PCOMM_EI
Remark.mac,26:26.0,26:31.0,PCOMM_EI
AHISrch.mac,27:09.0,27:27.0,PCOMM_EI
SeamFindICN.mac,35:29.0,35:33.0,PCOMM_EI
E_Signon.mac,35:58.0,38:57.0,PCOMM_EI
SeamFindICN.mac,42:25.0,42:41.0,PCOMM_EI
SeamFindICN.mac,05:32.0,05:41.0,PCOMM_EI
NDBlogin.mac,24:03.0,24:08.0,PCOMM_EI
E_Signon.mac,39:44.0,41:02.0,PCOMM_EI
SeamFindICN.mac,41:34.0,41:47.0,PCOMM_EI
Goto_CMI.mac,41:49.0,41:50.0,PCOMM_EI
Remark.mac,43:21.0,43:23.0,PCOMM_EI
GoTo_CEI.mac,47:13.0,47:16.0,PCOMM_EI
E_Signon.mac,11:54.0,15:07.0,PCOMM_EI
E_Signon.mac,15:29.0,16:23.0,PCOMM_EI
SeamFindICN.mac,20:40.0,20:46.0,PCOMM_EI
GoTo_CEI.mac,20:55.0,20:58.0,PCOMM_EI
SeamFindICN.mac,33:23.0,33:24.0,PCOMM_EI
E_Signon.mac,33:37.0,35:05.0,PCOMM_EI
SeamFindICN.mac,35:25.0,35:35.0,PCOMM_EI
GoTo_CEI.mac,55:48.0,55:51.0,PCOMM_EI
Goto_CMI.mac,05:25.0,05:26.0,PCOMM_EI
E_Signon.mac,54:57.0,55:58.0,PCOMM_EI
E_Signon.mac,57:15.0,58:13.0,PCOMM_EI
SeamFindICN.mac,58:50.0,58:57.0,PCOMM_EI
GoTo_CEI.mac,59:16.0,59:21.0,PCOMM_EI
Goto_CMI.mac,59:57.0,59:58.0,PCOMM_EI
ClmImage.mac,06:14.0,06:15.0,PCOMM_EI
SeamFindICN.mac,17:38.0,17:45.0,PCOMM_EI
E_Signon.mac,17:59.0,18:59.0,PCOMM_EI
SeamFindICN.mac,20:57.0,21:03.0,PCOMM_EI
GoTo_CEI.mac,24:02.0,24:04.0,PCOMM_EI
E_Signon.mac,12:54.0,14:45.0,PCOMM_EI
SeamFindICN.mac,14:57.0,15:03.0,PCOMM_EI
E_Signon.mac,10:12.0,26:18.0,PCOMM_EI
SeamFindICN.mac,26:43.0,26:49.0,PCOMM_EI
Goto_CMI.mac,27:02.0,27:03.0,PCOMM_EI
GoTo_CEI.mac,27:18.0,27:20.0,PCOMM_EI
SeamFindICN.mac,12:35.0,12:44.0,PCOMM_EI
SeamFindICN.mac,25:54.0,28:58.0,PCOMM_EI
RetIcn.mac,59:59.0,59:59.0,PCOMM_EI
ADJ&MPI.mac,59:58.0,59:59.0,PCOMM_EI_NAT
Not11_05.mac,59:59.0,59:59.0,PCOMM_EI_NAT
GoTo_MEI.mac,59:59.0,59:59.0,PCOMM_EI_NAT
E_Signon.mac,29:59.0,29:59.0,PCOMM_EI_NAT
Back tab,30:00.0,30:00.0,CPA CLAIMS_PROCESSING_MC
SeamFindICN.mac,59:58.0,00:00.0,PCOMM_EI
Goto_CMI.mac,00:00.0,00:00.0,PCOMM_EI_NAT
GoTo_MEI.mac,29:57.0,29:58.0,PCOMM_EI
SeamFindICN.mac,29:57.0,30:00.0,PCOMM_EI
RetIcn.mac,00:00.0,00:00.0,PCOMM_EI
AsORSEWD.mac,59:58.0,00:00.0,PCOMM_EI_NAT
Goto_CMI.mac,30:00.0,30:00.0,PCOMM_EI_NAT
71void.mac,29:59.0,30:01.0,PCOMM_EI_NAT
AHISrch.mac,59:57.0,00:00.0,PCOMM_EI_NAT
EDS_OVRC.mac,59:55.0,00:01.0,PCOMM_EI_NAT
E_Signon.mac,00:00.0,00:00.0,PCOMM_EI_NAT
SeamFindICN.mac,29:59.0,30:01.0,PCOMM_EI
AHISrch.mac,59:56.0,00:01.0,PCOMM_EI_NAT
ADJ&MPI.mac,59:59.0,00:01.0,PCOMM_EI_NAT
GoTo_MEI.mac,00:01.0,00:01.0,PCOMM_EI_NAT
ADJ&MPI.mac,59:55.0,00:01.0,PCOMM_EI_NAT
AHISrch.mac,29:59.0,30:01.0,PCOMM_EI_NAT
EDS_OVRC.mac,59:56.0,00:01.0,PCOMM_EI_NAT
EDS_OVRC.mac,59:58.0,00:02.0,PCOMM_EI_NAT
Not11_05.mac,30:01.0,30:02.0,PCOMM_EI_NAT
GoTo_CEI.mac,00:01.0,00:02.0,PCOMM_EI_NAT
EDS_OVRC.mac,59:57.0,00:02.0,PCOMM_EI_NAT
CLmacro.mac,59:57.0,00:02.0,PCOMM_EI_NAT
GoTo_MEI.mac,30:02.0,30:02.0,PCOMM_EI_NAT
GoTo_MEI.mac,00:00.0,00:02.0,PCOMM_EI_NAT
GoTo_MEI.mac,30:01.0,30:02.0,PCOMM_EI_NAT
RetIcn.mac,30:02.0,30:02.0,PCOMM_EI
ADJ&MPI.mac,00:01.0,00:02.0,PCOMM_EI_NAT
ADJ&MPI.mac,00:01.0,00:02.0,PCOMM_EI_NAT
GoTo_MEI.mac,00:02.0,00:03.0,PCOMM_EI_NAT
adjust.mac,59:54.0,00:03.0,PCOMM_EI_NAT
E_Signon.mac,00:03.0,00:03.0,PCOMM_EI_NAT
GoTo_MEI.mac,00:01.0,00:03.0,PCOMM_EI_NAT
SeamFindICN.mac,30:01.0,30:03.0,PCOMM_EI
ADJ&MPI.mac,00:00.0,00:03.0,PCOMM_EI_NAT
SeamFindICN.mac,30:01.0,30:03.0,
GoTo_MEI.mac,00:03.0,00:03.0,PCOMM_EI_NAT
GoTo_MRI.mac,30:03.0,30:03.0,PCOMM_EI_NAT
Ibaag.mac,59:50.0,00:03.0,PCOMM_EI_NAT
Host ORS/PCOMM Paste,30:03.0,30:04.0,CPA_REWORK_MC
Host ORS/PCOMM Copy,30:04.0,30:04.0,CPA_REWORK_MC
Remark.mac,00:03.0,00:04.0,PCOMM_EI
GoTo_MEI.mac,00:04.0,00:04.0,PCOMM_EI_NAT
CLmacro.mac,00:01.0,00:04.0,PCOMM_EI_NAT
SeamFindICN.mac,30:02.0,30:04.0,PCOMM_EI
AHISrch.mac,00:00.0,00:04.0,PCOMM_EI_NAT
ADJ&MPI.mac,00:03.0,00:05.0,PCOMM_EI_NAT
RetIcn.mac,00:04.0,00:05.0,PCOMM_EI
AHISrch.mac,00:02.0,00:05.0,PCOMM_EI_NAT
Get Hardcopy - NO COSMOS,30:05.0,30:05.0,CPA CPQ_ALL_MC
GoTo_MEI.mac,30:05.0,30:05.0,PCOMM_EI_NAT
CRT_Spreadsheet_Macro.xlsm,00:00.0,00:05.0,EXCEL_EI
GoTo_MEI.mac,00:04.0,00:06.0,PCOMM_EI_NAT
71void.mac,00:04.0,00:06.0,PCOMM_EI_NAT
RetIcn.mac,00:06.0,00:06.0,PCOMM_EI
GoTo_MEI.mac,30:03.0,30:06.0,PCOMM_EI_NAT
GoTo_MEI.mac,00:06.0,00:06.0,PCOMM_EI_NAT
ADJ&MPI.mac,30:05.0,30:06.0,PCOMM_EI_NAT
RetIcn.mac,00:06.0,00:06.0,PCOMM_EI
GoTo_MEI.mac,00:06.0,00:06.0,PCOMM_EI_NAT
Chg_OV.mac,00:05.0,00:06.0,PCOMM_EI_NAT
GoTo_MRI.mac,00:06.0,00:06.0,PCOMM_EI_NAT
SeamFindICN.mac,00:02.0,00:06.0,PCOMM_EI
SeamFindICN.mac,00:06.0,00:07.0,PCOMM_EI
71void.mac,30:03.0,30:07.0,PCOMM_EI_NAT
Host ORS/PCOMM Paste,30:06.0,30:07.0,CPA_REWORK_MC
RetIcn.mac,00:06.0,00:07.0,PCOMM_EI_NAT
ClmImage.mac,30:01.0,30:07.0,PCOMM_EI
GoTo_CEI.mac,00:07.0,00:07.0,PCOMM_EI_NAT
AHISrch.mac,30:05.0,30:07.0,PCOMM_EI_NAT
SeamFindICN.mac,00:07.0,00:07.0,PCOMM_EI
GoTo_MEI.mac,30:07.0,30:07.0,PCOMM_EI_NAT
AHISrch.mac,00:06.0,00:07.0,PCOMM_EI_NAT
SeamFindICN.mac,29:54.0,30:07.0,PCOMM_EI
AsORSEWD.mac,00:06.0,00:08.0,PCOMM_EI_NAT
SeamFindICN.mac,30:05.0,30:08.0,PCOMM_EI_NAT
Chg_OV.mac,00:07.0,00:08.0,PCOMM_EI_NAT
ADJ&MPI.mac,00:07.0,00:08.0,PCOMM_EI_NAT
Med_Nec.mac,59:24.0,00:08.0,PCOMM_EI_NAT
ADJ&MPI.mac,00:07.0,00:08.0,PCOMM_EI_NAT
ADJ&MPI.mac,00:07.0,00:08.0,PCOMM_EI_NAT
AHISrch.mac,00:05.0,00:08.0,PCOMM_EI_NAT
SeamFindICN.mac,00:06.0,00:08.0,PCOMM_EI
RetIcn.mac,00:08.0,00:08.0,PCOMM_EI
AHISrch.mac,30:06.0,30:08.0,PCOMM_EI_NAT
RetIcn.mac,00:08.0,00:09.0,PCOMM_EI
ClearNC.mac,00:08.0,00:08.0,PCOMM_EI_NAT
CRT_Spreadsheet_Macro.xlsm,30:06.0,30:09.0,EXCEL_EI
adjust.mac,59:50.0,00:09.0,PCOMM_EI_NAT
RetIcn.mac,30:08.0,30:09.0,PCOMM_EI
GoTo_MEI.mac,30:08.0,30:09.0,PCOMM_EI_NAT
Ibaag.mac,59:47.0,00:09.0,PCOMM_EI_NAT
RetIcn.mac,00:08.0,00:09.0,PCOMM_EI
